street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
DUNSINK PARK,6,2,2,5,5,295,missing,0,313121,DUNSINK ROAD,DUNSINK AVENUE,Páirc Dhúin Since
DUNSINK ROAD,3,2,1,5,5,89,missing,0,313121,WELLMOUNT ROAD,DUNSINK DRIVE,Bóthar Dhúin Since
DUNSINK ROAD,6,2,2,5,5,476,missing,0,313121,WELLMOUNT ROAD,DUNSINK DRIVE,Bóthar Dhúin Since
DUNVILLE AVENUE,4,5,3,8,21,245,missing,0,332911,KILLEEN ROAD,BEECHWOOD AVE LOWER,Ascaill Dúinbhile
DUNVILLE AVENUE,4,5,1,8,21,55,missing,0,332911,KILLEEN ROAD,BEECHWOOD AVENUE LOWER,Ascaill Dúinbhile
DURHAM ROAD,5,5,3,17,30,58,missing,0,326419,GILFORD ROAD,NEWGROVE AVENUE,Bóthar Durham
DURHAM ROAD,5,5,2,17,30,336,missing,0,326419,GILFORD ROAD,NEWGROVE AVENUE,Bóthar Durham
DURROW ROAD,6,4,2,10,18,447,missing,0,332807,LISMORE ROAD,STANNAWAY ROAD,Bóthar Darmhaigh
EAGLE HILL AVENUE,6,5,2,4,17,45,missing,0,332811,TERENURE ROAD NORTH,missing,Ascaill Chnoc an Iolair
EAGLE PARK,6,3,2,9,9,131,missing,0,313214,TRANQUILITY GROVE,missing,Páirc an Iolair
EARL PLACE,6,1,1,15,15,102,missing,0,326305,SACKVILLE PLACE,SAIL STREET NORTH,Plás an Iarla
EARL STREET NORTH,4,1,1,15,15,121,missing,0,326305,O'CONNELL STREET,MARLBOROUGH STREET,Sráid an Iarla Thuaidh
EARL STREET SOUTH,4,4,1,6,6,136,missing,0,326314,THOMAS COURT,MEATH STREET,missing
EARL STREET SOUTH,4,4,1,6,6,58,missing,0,326314,THOMAS COURT,MEATH STREET,missing
EARLS COURT,6,1,2,10,18,58,missing,0,319717,OLD CABRA ROAD,missing,missing
EARLSFORT TERRACE,3,5,1,14,6,284,missing,0,326416,LEESON STREET LOWER,ADELAIDE ROAD,Ardán Phort an Iarla
EARLSFORT TERRACE,2,5,1,14,6,105,R811,0,326416,LEESON STREET LOWER,ADELAIDE ROAD,Ardán Phort an Iarla
EAST ROAD,4,1,3,16,16,14,missing,0,329823,EAST WALL,SHERRIFF STREET UPPER,An Bóthar Thoir
EAST ROAD,4,1,3,16,16,214,missing,0,329823,EAST WALL,SHERRIFF STREET UPPER,An Bóthar Thoir
EAST ROAD,3,1,1,16,16,416,missing,0,329823,EAST WALL,SHERRIFF STREET UPPER,An Bóthar Thoir
