street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
ABBEY PARK,6,3,2,14,14,172,missing,0,319805,KILLESTER AVE.,missing,Páirc na Mainistreach
ABBEY STREET LOWER,3,1,1,15,15,315,missing,0,326401,O'CONNELL ST.,BERESFORD PLACE,Sráid na Mainistreach íocht
ABBEY STREET MIDDLE,3,1,1,12,12,251,missing,0,326305,LR. LIFFEY STREET,O'CONNELL STREET,Sráid Mheadhan na Mainistreach
OLD ABBEY STREET,6,1,2,15,15,156,missing,0,326401,BERESFORD PLACE,MARLBOROUGH STREET,Sean Sráid na Mainistreach
ABBEY STREET UPPER,3,1,1,12,12,321,missing,0,326305,CAPEL ST,LOWER LIFFEY STREET,Sráid na Mainistreach Uacht
ABBEYFIELD,6,3,1,14,14,782,missing,0,319805,ST BRIGID RD,MIDDLE THIRD,Gort na Mainistreach
ABBEYFIELD,4,3,1,14,14,442,missing,0,319805,ST BRIGID RD,MIDDLE THIRD,Gort na Mainistreach
ABBEYFIELD,5,5,1,8,21,244,missing,1995,332907,MILLTOWN ROAD,missing,Goirt na Mainistreach
ABBOTSTOWN AVENUE,6,2,2,5,5,605,missing,0,313116,CARDIFFBRIDGE RD,RATOATH ROAD,Ascaill Bhaile Abba
ABBOTSTOWN DRIVE,6,2,2,5,5,163,missing,0,313116,RATOATH DRIVE,missing,Céide Bhaile an Abba
ABBOTSTOWN ROAD,6,2,2,5,5,336,missing,0,313116,CAPPAGH RD,RATOATH AVE.,Bóthar Bhaile an Abba
ABERCORN ROAD,5,1,3,16,16,141,missing,0,326402,SHERRIFF ST.,IRVINE TCE.,Bóthar Abarearnaigh
ABERCORN TERRACE,6,4,1,5,13,116,missing,0,326215,ST. PATRICKS TERRACE,missing,Ardán Abarearnaigh
ABERDEEN STREET,6,1,3,1,1,144,missing,0,326302,INFIRMARY RD.,FINDLATER ST.,Sráid Abardeón
ACCOMMODATION WALK,7,5,3,11,24,201,missing,0,,missing,missing,An Cóngar
ACCOMMODATION WALK,7,5,2,11,24,304,missing,0,,missing,missing,An Cóngar
ACHILL ROAD,6,1,3,14,22,155,missing,0,319801,HOMEFARM RD.,missing,Bóthar Acaill
ADAIR LANE,7,5,2,9,1,43,missing,0,326310,PRICES LANE,ASTON PLACE,Lána Uí Dhaire
ADAM COURT,7,5,3,17,9,30,missing,0,326310,GRAFTON ST.,missing,Cúirt Ádhaimh
ADARE AVENUE,6,3,2,3,3,214,missing,0,313209,ADARE RD.,BUNRATTY ROAD,Ascaill Átha Dara
ADARE DRIVE,6,3,2,3,3,209,missing,0,313210,BUNRATTY RD,ADARE ROAD,Céide Átha Dara
ADARE GREEN,6,3,2,3,3,248,missing,0,313210,BUNRATTY RD.,ADARE ROAD,Faiche Átha Dara
ADARE PARK,6,3,2,3,3,224,missing,0,313210,ADARE RD,BUNRATTY ROAD,Páirc Átha Dara
ADARE ROAD,6,3,2,3,3,600,missing,0,313210,COOLOCK DRIVE,BARRYSCOURT ROAD,Bóthar Átha Dara
ADDISON PLACE,6,1,1,13,21,52,missing,0,319710,BOTANIC AVE.,missing,Plás Mac Ádaidh
ADDISON ROAD,6,3,3,15,17,159,missing,0,319817,ANNESLEY BRIDGE RD.,missing,Bóthar Mac Ádaidh
ADELAIDE ROAD,2,5,1,R03,R01,505,R811,0,326320,PETERS PLACE,LEESON STREET LOWER,Bóthar Adelaide
ADRIAN AVENUE,6,4,2,1,9,110,missing,0,332809,CLAREVILLE ROAD,missing,Ascaill Aedrian
AIDEEN AVENUE,4,4,2,12,20,219,missing,0,332808,DERRAVARAGH RD.,LWR. KIMMAGE ROAD,Ascaill éadaoin
AIDEEN DRIVE,6,4,2,12,20,204,missing,0,332813,AIDEEN AVE.,DERRAVARAGH ROAD,Céide éadaoin
AIDEEN PLACE,7,4,2,12,20,210,missing,0,332808,AIDEEN AVE.,AIDEEN DRIVE,Plás éadaoin
AIKENHEAD TERRACE,6,5,2,17,30,166,missing,0,326413,OFF D. HURLEY AVE.,missing,Ardán Aikenhead
AILESBURY DRIVE,6,5,2,14,27,260,missing,0,332903,AILESBURY DRIVE,ANGLESEA ROAD,Céide Aelsbaire
AILESBURY GARDENS,5,5,3,17,30,214,missing,0,333005,OFF SYDNEY PARADE AVE.,missing,Garraithe Aelsbaire
AILESBURY GARDENS,5,5,2,17,30,69,missing,0,333005,OFF SYDNEY PARADE AVENUE,missing,Garraithe Aelsbaire
AILESBURY GROVE,6,5,1,14,27,142,missing,0,332903,OFF AILESBURY RD.,missing,Garrán Aelsbaire
AILESBURY MEWS,6,5,1,14,27,0,missing,0,332910,AILESBURY GARDENS,missing,Eachlann Aelsbaire
AILESBURY PARK,5,5,3,17,30,229,missing,0,332914,SYDNEY PARADE AVE.,MERRION ROAD,Páirc Aelsbaire
AILESBURY ROAD,4,5,1,14,27,211,missing,0,332908,ANGLESEA RD,SYDNEY PARADE AVE,Bóthar Aelsbaire
AILESBURY ROAD,2,5,1,14,27,1049,R824,0,332908,ANGLESEA RD. - SYDNEY PARADE AVE.,missing,Bóthar Aelsbaire
AILESBURY LANE,7,5,3,,,206,missing,0,332904,AILESBURY ROAD,missing,missing
AIRFIELD COURT,6,5,2,12,25,188,missing,0,332913,EXTENSION AIRFIELD PARK,missing,Cúirt Bhán an Aeir
AIRFIELD PARK,6,5,2,12,25,164,missing,0,332908,STILLORGAN RD.,missing,Páirc Bhán an Aeir
AIRFIELD ROAD,6,5,3,4,17,123,missing,0,332814,RATHGAR AVE.,missing,Bóthar Bhán an Aeir
ALBANY ROAD,6,5,3,8,21,241,missing,0,332906,OFF MERTON DRIVE,missing,Bóthar Albaine
ALBANY ROAD,3,5,2,8,21,67,missing,0,332906,OFF MERTON DRIVE,missing,Bóthar Albaine
ALBERT COLLEGE AVENUE,6,2,2,8,8,315,missing,0,313120,ALBERT COLLEGE,missing,Ascaill Choláiste
ALBERT COLLEGE CRESCENT,6,2,2,8,8,117,missing,0,313120,ALBERT COLLEGE AVE.,missing,Corrán Choláiste Ailbhe
ALBERT COLLEGE DRIVE,6,2,2,8,8,283,missing,0,313220,ALBERT COLLEGE AVE.,BALLYMUN ROAD,Céide Choláiste Ailbhe
ALBERT COLLEGE GROVE,6,2,2,8,8,137,missing,0,313120,ALBERT COLLEGE AVENUE,missing,Garrán Choláiste Ailbhe
ALBERT COLLEGE LAWN,6,2,2,8,8,135,missing,0,313125,ALBERT COLLEGE AVENUE,missing,missing
ALBERT COLLEGE PARK,6,2,2,8,8,270,missing,0,313120,COLLINS AVE. EXT.,ALBERT COLLEGE PARK,Páirc Choláiste Ailbhe
ALBERT COURT EAST,6,5,2,21,13,107,missing,0,326412,GRAND CANAL ST. LR.,missing,Cúirt Ailbhe Thoir
ALBERT PLACE EAST,6,5,1,21,13,67,missing,0,326412,GRAND CANAL ST. LWR.,missing,Plás Ailbhe Thoir
ALBERT PLACE WEST,6,5,2,15,7,114,missing,0,326320,CHARLOTTE ST.,PETERS PLACE,Plás Ailbhe Thiar
ALBERT TERRACE,6,5,2,15,7,34,missing,0,326320,ALBERT PLACE WEST,missing,Ardán Ailbhe
ALDBOROUGH PARADE,4,1,3,16,16,84,missing,0,319822,NORTH STRAND,missing,Paráid Albro
ALDBOROUGH PLACE,7,1,3,13,13,69,missing,0,319821,PORTLAND ROW,missing,Plás Albro
ALDBOROUGH SQUARE,7,1,3,13,13,30,missing,0,319821,ALDBOROUGH PLACE,missing,Cearnóg Albro
ALDRIN WALK,6,3,2,9,9,191,missing,0,313214,TRANQUILITY GROVE,missing,Cosán Aildrin
ALEXANDRA TERRACE,6,5,3,12,25,105,missing,0,332814,WHITTON RD.,ST.ENDAS ROAD,Ardán Alexandra
ALEXANDER TERRACE,7,1,2,12,12,30,missing,0,326403,OFF CASTLEFORBES RD.,missing,Ardán Alexandra
ALEXANDRA TERRACE,6,5,1,12,4,70,missing,0,332814,BLOOMFIELD AVE.,missing,Ardán Alexandra
ALFIE BYRNE ROAD,2,3,1,R03,R03,1050,R834,0,319818,EAST WALL RD.,CLONTARF ROAD,missing
ALL SAINTS DRIVE,6,3,2,16,16,298,missing,0,319902,WADE'S AVE,WATERMILL ROAD,Céide na Naomh
ALL SAINTS PARK,3,3,2,16,16,219,missing,0,319902,ALL SAINTS RD.,ALL SAINTS DRIVE,Páirc na Naomh
ALL SAINTS PARK,6,3,2,16,16,393,missing,0,319902,ALL SAINTS RD,ALL SAINTS DRIVE,Páirc na Naomh
ALL SAINTS ROAD,3,3,1,16,16,801,missing,0,319901,HOWTH RD.,WATERMILL ROAD,Bóthar na Naomh
ALLINGHAM STREET,6,4,2,6,6,94,missing,0,326313,SUMMER ST. STH.,missing,Sráid Mhic Giolla Finnéin
ALMA TERRACE,6,5,2,7,20,52,missing,0,326325,MOUNT PLEASANT AVE.,MOUNT PLEASANT BUILDINGS,Ardán Alma
ALMEIDA AVENUE,6,4,1,2,2,43,missing,0,326312,ALMEIDA TCE.,BROOKFIELD STREET,Ascaill Alméide
AMIENS STREET,2,1,1,R13,R13,621,R105,0,326401,SEVILLE PLACE,STORE STREET,Sráid Amiens
ANGLESEA ROAD,2,5,1,14,27,1192,R815,0,326423,DONNYBROOK RD.,MERRION ROAD,Bóthar Mhóna.
ANGLESEA ROW,6,1,4,7,7,114,missing,0,326305,LITTLE BRITTAIN ST.,LITTLE MARY STREET,Rae Mhóna.
ANGLESEA STREET,5,5,1,9,1,143,missing,0,326310,FLEET ST.,COLLEGE GREEN,Sráid Mhóna.
ANNA VILLA,6,5,3,8,21,285,missing,0,332901,RANELAGH,BEECHWOOD ROAD,Annabile.
ANNADALE AVENUE,6,3,3,15,17,91,missing,0,319812,PHILIPSBURGH AVE,FOYLE ROAD,Ascal Annadal.
ANNADALE CRESCENT,6,3,2,15,17,391,missing,0,319807,ANNADALE DRIVE,missing,Corrán Annadal.
ANNADALE DRIVE,6,3,2,15,17,585,missing,0,319807,PHILIPSBURGH AVE.,GRACE PARK TERRACE,Céide Annadal.
ANNADALE DRIVE,6,3,1,15,17,15,missing,0,319807,PHILIPSBURGH AVE.,GRACE PARK TERRACE,Céide Annadal.
ANNALY ROAD,3,1,2,12,20,217,missing,0,319718,DOWTH AVE.,QUARRY ROAD,Bóthar Annaile.
ANNALY ROAD,6,1,2,12,20,291,missing,0,319718,DOWTH AVE.,QUARRY ROAD,Bóthar Annaile.
ANNAMOE DRIVE,6,1,2,12,20,491,missing,0,319718,ANNAMOE TERRACE,missing,Céide Áth Na Mbó
ANNAMOE PARADE,7,1,2,12,20,376,missing,0,319718,NTH. CIRCULAR RD.,CHARLEVILLE ROAD,Paráid Áth Na Mbó
ANNAMOE PARK,6,1,2,12,20,264,missing,0,319718,ANNAMOE DRIVE,missing,Páirc Áth Na Mbó
ANNAMOE ROAD,3,1,3,12,20,562,missing,0,319718,NEW CABRA RD.,NORTH CIRCULAR ROAD,Bóthar Áth Na Mbó
ANNAMOE TERRACE,3,1,2,12,20,119,missing,0,319718,ANNAMOE RD.,NEW CABRA ROAD,Ardán Áth Na Mbó
ANNAMOE TERRACE,4,1,1,12,20,252,missing,0,319718,ANNAMOE ROAD,NEW CABRA ROAD,Ardán Áth Na Mbó
ANNE'S LANE,7,5,2,17,9,174,missing,0,326305,ANNE STREET SOUTH,missing,missing
ANNE STREET NORTH,4,1,1,7,7,147,missing,0,326304,CUCKOO LANE,NORTH KING STREET,missing
ANNE STREET SOUTH,4,5,1,17,9,136,missing,0,326305,GRAFTON STREET,DAWSON STREET,missing
ANNER ROAD,6,4,2,7,15,265,missing,0,326311,GOLDENBRIDGE AVENUE,BULFIN ROAD,Bóthar Andobhar
ANNESLEY AVENUE,6,1,3,13,13,129,missing,0,319817,TAFFES PLACE,SPRING GARDEN STREET,Ascaill Ainisle
ANNESLEY BRIDGE ROAD,2,3,1,15,17,258,R105,0,319817,EAST WALL ROAD,FAIRVIEW STRAND,Bóthar Dhroichead Ainisle
ANNESLEY PARK,6,5,3,8,21,272,missing,0,332901,ORMOND ROAD SOUTH,DUNVILLE AVENUE,Páirc Ainisle
ANNESLEY PLACE,4,1,1,13,13,186,missing,0,319817,POPLAR ROW,NORTH STRAND ROAD,Páirc Ainisle
APPIAN WAY,4,5,1,R12,R23,351,missing,0,326422,LEESON STREET UPPER,LEESON PARK,missing
APOLLO WAY,6,3,2,9,9,148,missing,0,313214,TRANQUILITY GROVE,missing,missing
ARBOUR HILL,4,1,1,1,1,663,missing,0,326303,MONTPELIER HILL,STONEYBATTER,Cnoc an Earbair
ARBOUR PLACE,6,1,3,1,1,153,missing,0,326303,STONEYBATTER,ARBOUR HILL,Plás Earbair
ARBOUR TERRACE,6,1,2,1,1,70,missing,0,326303,ARBOUR HILL,missing,Ardán Earbair
ARBUTUS AVENUE,6,4,3,11,19,90,missing,0,326324,PARNELL ROAD,missing,Ascaill na Caithne
ARBUTUS PLACE,6,5,1,11,3,96,missing,0,326319,LOMBARD STREET WEST,missing,Plás na Caithne
ARD NA MEALA,6,2,3,,,305,missing,0,313110,BALCURRIS ROAD,missing,missing
ARDPATRICK ROAD,6,1,2,10,18,307,missing,0,319716,SKREEN ROAD,SKREEN ROAD,missing
ARD RI ROAD,6,1,3,1,1,187,missing,0,326303,MOUNT TEMPLE ROAD,ARBOUR HILL,missing
ARD RI PLACE,6,1,3,1,1,43,missing,0,313220,ARDRIGH ROAD,missing,missing
ARDAGH ROAD,6,4,2,10,18,137,missing,0,326322,CRUMLIN ROAD,missing,Bóthar Árdachadh.
ARDARA AVENUE,6,3,2,4,4,662,missing,0,313308,GRANGE ROAD,missing,Ascaill Ard an Rátha
ARDBEG CRESCENT,6,3,2,9,9,74,missing,0,313220,ARDBEG DRIVE,missing,Corrán Ard Beag
ARDBEG DRIVE,6,3,2,9,9,176,missing,0,313220,ARDBEG PLACE,missing,Céide Ard Beag
ARDBEG PARK,6,3,2,9,9,491,missing,0,313220,OFF ARDBEG DRIVE,missing,Páirc Ard Beag
ARDBEG ROAD,6,3,2,9,9,145,missing,0,313220,ARDLEA ROAD,ARDBEG PARK,Bóthar Ard Beag
ARDCOLLUM AVENUE,6,3,2,9,9,510,missing,0,313224,ARDLEA ROAD,MARYFIELD CRESCENT,Ascaill Ard Colm
ARDEE ROAD,6,5,3,3,16,160,missing,0,326325,WILLIAMS PARK,MILITARY ROAD,Bóthar áth Fhirdia
ARDEE STREET,4,4,1,R04,R04,140,missing,0,326314,THE COOMBE,MILL STREET,Sráid áth Fhirdia
ARDEE STREET,2,4,1,R04,R04,102,R110,0,326314,THE COOMBE,MILL STREET,Sráid áth Fhirdia
ARDILAUN ROAD,6,1,3,8,8,31,missing,0,319816,SACKVILLE AVENUE,missing,Bóthar Ardoileán
ARDILAUN ROAD,6,1,2,8,8,112,missing,0,319816,SACKVILLE AVENUE,missing,Bóthar Ardoileán
ARDLEA ROAD,6,3,2,9,9,1020,missing,0,313219,ROUNDABOUT ON MALAHIDE ROAD,KILMORE ROAD,Bóthar Ard Liath
ARDMORE AVENUE,6,3,1,10,10,72,missing,0,319723,ELLESMERE AVENUE,missing,Ascaill Ard Mór
ARDMORE CLOSE,6,3,2,7,7,161,missing,0,313218,ARDMORE DRIVE,missing,Clós Ard Mór
ARDMORE CRESCENT,6,3,2,7,7,205,missing,0,313219,ARDMORE DRIVE,missing,missing
ARDMORE DRIVE,6,3,2,7,7,1381,missing,0,313218,KILMORE ROAD,missing,Céide Ard Mór
ARDMORE GROVE,6,3,2,7,7,159,missing,0,313218,ARDMORE DRIVE,missing,Garrán Ard Mór
ARDMORE PARK,6,3,2,7,7,188,missing,0,313219,ARDMORE DRIVE,missing,missing
ARGYLE ROAD,6,5,3,13,26,156,missing,0,326222,HERBERT PARK,BRENDAN ROAD,Bóthar Earragháidheal
ARKLOW STREET,3,1,3,1,1,129,missing,0,319723,ASHFORD STREET,COWPER STREET,Sráid Inbhear Mór
ARMAGH ROAD,3,4,1,10,18,78,missing,0,332876,CAPTAINS ROAD,CLONARD ROAD,Bóthar Ard Mhacha
ARMAGH ROAD,3,4,2,10,18,273,missing,0,332876,CAPTAINS ROAD,CLONARD ROAD,Bóthar Ard Mhacha
ARMSTRONG STREET,6,5,2,3,16,70,missing,0,326324,HAROLDS X COTTAGES,HAROLDS X ROAD,Sráid Thréanlámhaigh
ARMSTRONG WALK,6,3,2,9,9,152,missing,0,313214,TRANQUILITY GROVE,OSCAR TRAYNOR ROAD,Cosán Treanlamhach
ARNOTT STREET,6,5,1,11,3,225,missing,0,326320,HEYSTEBURY STREET,CURZON STREET,Sráid Arnóid
ARRAN QUAY,1,1,1,R01,R01,330,N004,0,326309,QUEEN STREET,CHURCH STREET BRIDGE,Cé Árann
ARRAN ROAD,6,1,3,14,22,102,missing,0,319801,HOMEFARM ROAD,missing,Bóthar Árann
ARRAN STREET EAST,4,1,1,7,7,267,missing,0,326305,MARYS LANE,ORMOND QUAY,missing
ARRAN STREET WEST,4,1,4,3,3,86,missing,0,326309,ARRAN QUAY,ARRAN QUAY TERRACE,missing
ARRANMORE AVENUE,6,1,3,4,4,100,missing,0,319720,NORTH CIRCULAR ROAD,missing,Ascaill Árainn Mhór
ARRANMORE ROAD,6,5,3,13,26,155,missing,0,332902,HERBERT PARK,BRENDAN ROAD,Bóthar Árainn Mhór
ARTANE CASTLE SERVICE ROAD,6,3,1,8,8,167,missing,0,313224,KILMORE ROAD,missing,missing
ASDILL'S ROW,6,5,1,9,1,51,missing,0,326310,TEMPLE BAR,WELLINGTON QUAY,missing
ASH STREET,4,4,1,6,6,107,missing,0,326314,GARDEN LANE,PARK TERRACE,Sráid Ais
ASHBROOK,6,1,1,9,17,178,missing,1990,319604,ASHTOWN ROAD,missing,Sruthán na Fuinnseóige
ASHBROOK,6,3,1,14,14,0,missing,0,319809,HOWTH ROAD,missing,missing
ASHCROFT,6,3,1,11,11,1120,missing,1991,313317,STATION ROAD RAHENY,missing,Croit na Fuinseoige
ASHDALE AVENUE,6,4,3,12,20,80,missing,0,332813,ASHDALE ROAD,missing,Ascaill Cúr na Fuinnseóige
ASHDALE GARDENS,6,4,3,12,20,68,missing,0,332813,ASHDALE ROAD,missing,Gairdíní Cúr na Fuinnseóige
ASHDALE PARK,6,4,2,12,20,89,missing,0,332813,ASHDALE ROAD,missing,Páirc Cúr na Fuinnseóige
ASHDALE ROAD,6,4,3,12,20,397,missing,0,332813,EATON SQUARE,TERENURE ROAD NORTH,Bóthar Cúr na Fuinnseóige
ASHFIELD AVENUE,6,5,3,8,21,97,missing,0,332901,ASHFIELD ROAD,MORNINGTON ROAD,missing
ASHFIELD PARK,6,4,3,12,20,104,missing,0,332813,ASHDALE ROAD,MOUNT TALLANT AVENUE,missing
ASHFIELD ROAD,3,5,3,4,17,256,missing,0,332901,RANELAGH,BEECHWOOD ROAD,missing
ASHFIELD ROAD,3,5,3,4,17,100,missing,0,332901,RANELAGH,BEECHWOOD ROAD,missing
ASHFORD COTTAGES,6,1,3,1,1,31,missing,0,319723,OFF ASHFORD STREET,missing,Iostáin áth na Fuinseóige
ASHFORD PLACE,6,1,3,1,1,44,missing,0,319723,ASHFORD STREET,missing,Plás áth na Fuinseóige
ASHFORD STREET,6,1,3,1,1,129,missing,0,319723,ROSS STREET,COWPER STREET,Sráid áth na Fuinseóige
ASHINGTON AVENUE,4,1,1,9,17,350,missing,0,319706,KINVARA AVENUE,missing,Ascaill Ashington
ASHINGTON CLOSE,6,1,1,9,17,200,missing,0,319706,ASHINGTON PARK,missing,Clós Ashington
ASHINGTON COURT,6,1,1,9,17,202,missing,0,319706,ASHINGTON PARK,missing,Cúirt Ashington
ASHINGTON CRESCENT,6,1,1,9,17,194,missing,0,319610,ASHINGTON HEATH,missing,Corrán Ashington
ASHINGTON DALE,6,1,1,9,17,202,missing,0,319706,ASHINGTON PARK,missing,Gleanntán Ashington
ASHINGTON GARDENS,6,1,1,9,17,275,missing,0,319706,ASHINGTON PARK,missing,Gairdíní Ashington
ASHINGTON GREEN,6,1,1,9,17,150,missing,0,319706,ASHINGTON AVENUE,missing,Faiche Ashington
ASHINGTON GROVE,6,1,1,9,17,150,missing,0,319706,ASHINGTON CRESCENT,missing,Garrán Ashington
ASHINGTON HEATH,6,1,1,9,17,175,missing,0,319706,ASHINGTON AVENUE,missing,Fraoch  Ashington
ASHINGTON MEWS,6,1,1,9,17,130,missing,0,319706,ASHINGTON COURT,missing,Eachlann Ashington
ASHINGTON PARK,6,1,1,9,17,278,missing,0,319706,ASHINGTON COURT,ASHINGTON RISE,Páirc Ashington
ASHINGTON RISE,6,1,1,9,17,402,missing,0,319706,ASHINGTON HEATH,CUL DE SAC,Ard Ashington
ASHLING CLOSE,6,4,1,10,18,122,missing,1991,326222,OLD COUNTY ROAD,missing,missing
ASHTOWN GROVE,6,1,3,9,17,276,missing,0,319610,KINVARA PARK,missing,Garrán Bhaile na Fuinseoige
ASHTOWN ROAD,4,1,1,9,17,694,missing,0,319604,NAVAN ROAD,CITY BOUNDRY,Bóthar Bhaile na Fuinseoige
ASHWORTH PLACE,6,5,2,3,16,68,missing,0,326324,FITZGERALD STREET,MOUNT DRUMMOND AVENUE,Plás Aisbhiort
ASTON PLACE,4,5,2,9,1,81,missing,0,326310,ASTON QUAY,FLEET STREET,Plás Astúin
ASTON QUAY,1,5,1,R09,R05,232,N004,0,326310,BEDFORD ROW,O'CONNELL BRIDGE,Cé Astúin
ATHLUMNEY VILLAS,6,5,2,7,20,123,missing,0,326325,OFF RANELAGH ROAD,missing,Bailtíní áthluimnigh
AUBURN AVENUE,6,5,3,13,26,145,missing,0,332902,AUBURN ROAD,MOREHAMPTON RD,Ascaill Achadh na Gréine
AUBURN ROAD,6,5,3,8,21,81,missing,0,332902,OFF HOME VILLAS,missing,Bóthar Achadh na Gréine
AUBURN STREET,6,1,3,5,5,162,missing,0,319724,PRIMROSE AVENUE,missing,Sráid Achadh na Gréine
AUBURN VILLAS,6,5,3,3,16,144,missing,0,332815,OFF RATHGAR ROAD,missing,Bailtíní Achadh na Gréine
AUBURN WALK,7,1,2,1,1,39,missing,0,319723,OFF AUGHRIM STREET,missing,missing
AUGHAVANNAGH ROAD,6,4,2,11,19,390,missing,0,326323,CLOGHER ROAD,PARNELL ROAD,missing
AUGHRIM COURT,6,1,1,1,1,0,missing,1995,319723,AUGHRIM STREET,missing,Cúirt Eachroma
AUGHRIM LANE,7,1,2,1,1,83,missing,0,319723,HALLIDAY ROAD,missing,Lána Eachroma
AUGHRIM PLACE,6,1,3,1,1,120,missing,0,319723,AUGHRIM STREET,OXMANSTOWN ROAD,Plás Eachroma
AUGHRIM STREET,2,1,1,1,1,285,R806,0,319723,NORTH CIRCULAR ROAD,PRUSSIA STREET,Sráid Eachroma
AUGHRIM STREET,2,1,2,1,1,231,R806,0,319723,NORTH CIRCULAR ROAD,PRUSSIA STREET,Sráid Eachroma
AULDEN GRANGE,6,3,1,1,1,937,missing,1993,313207,COOLOCK LANE OLD,missing,missing
AUNGIER LANE,7,5,2,13,5,44,missing,0,326315,OFF AUNGIER PLACE,missing,Lána Áinséir
AUNGIER PLACE,7,5,2,13,5,90,missing,0,326315,MERCER STREET UPPER,AUNGIER STREET,Plás Áinséir
AUNGIER STREET,2,5,1,R07,R03,351,R114,0,326315,STEPHEN STREET LOWER,BISHOP STREET,Sráid Áinséir
AUSTINS COTTAGES,6,1,2,13,13,45,missing,0,319817,ANNESLEY PLACE,missing,Iostáin Mhic Uistín
AVE MARIA ROAD,6,4,2,2,2,144,missing,0,326313,LOURDES ROAD,missing,Bóthar Abhe Maria
AVENUE ROAD,7,5,1,12,4,215,missing,0,326325,ST. KEVINS ROAD,BLOOMFIELD AVE.,Bóthar an Ascaill
AVONDALE AVENUE,6,1,1,2,2,122,missing,0,319719,AVONDALE ROAD,PHIBSBOROUGH AVE.,Ascaill Gleannabhna
AVONDALE PARK,6,3,2,12,12,551,missing,0,313323,HOWTH ROAD,RAHENY COURT,Páirc Gleannabhna
AVONDALE ROAD,5,1,1,2,2,164,missing,0,319719,LESLIES BUILDINGS,NORTH CIRCULAR ROAD,Bóthar Gleannabhna
AYREFIELD AVENUE,6,3,2,4,4,276,missing,0,313311,AYREFIELD ROAD,RATHVALE PARK,missing
AYREFIELD COURT,6,3,2,4,4,140,missing,0,313311,AYREFIELD ROAD,missing,missing
AYREFIELD DRIVE,6,3,2,4,4,460,missing,0,313306,NEWTOWN DRIVE,AYREFIELD ROAD,missing
AYREFIELD GROVE,6,3,2,4,4,93,missing,0,313311,AYREFIELD AVENUE,missing,missing
AYREFIELD PARK,6,3,2,4,4,142,missing,0,313311,AYREFIELD ROAD,RATHVALE AVENUE,missing
AYREFIELD PLACE,6,3,2,4,4,86,missing,0,313311,AYREFIELD ROAD,missing,missing
AYREFIELD ROAD,6,3,2,16,16,422,missing,0,313306,RATHVALE DRIVE,NEWTON DRIVE,missing
BACHELORS WALK,1,1,1,R01,R01,263,N004,0,326305,O'CONNELL STREET,LOWER LIFFEY STREET,missing
BACHELORS WAY,6,1,1,12,12,93,missing,0,326305,BACHELORS WALK,MIDDLE ABBEY STREET,missing
BACK LANE,6,4,1,6,6,185,missing,0,326309,HIGH STREET,NICHOLAS STREET,An Lána Cúil
BAGGOT CLOSE,7,5,1,18,10,22,missing,0,326411,BAGGOT STREET LOWER,missing,Clós Bhagóid
BAGGOT COURT,7,5,2,18,10,171,missing,0,326411,BAGGOT STREET LOWER,PEMBROKE LANE,Cúirt Bhagóid
BAGGOT LANE,7,5,2,15,28,414,missing,0,326417,NORTHTHUMBERLAND ROAD,EASTMORELAND PLACE,Lána Bhagóid
BAGGOT ROAD,6,1,3,9,17,42,missing,0,319615,NAVAN ROAD,BLACKHORSE AVE.,Bóthar Bhagóid
BAGGOT ROAD,6,1,2,9,17,265,missing,0,319615,NAVAN ROAD,BLACKHORSE AVE.,Bóthar Bhagóid
BAGGOT STREET LOWER,2,5,1,R17,R13,146,R816,0,326411,MERRION STREET UPPER,WILTON TCE.,Sráid Bhagóid íocht
BAGGOT STREET LOWER,2,5,2,R17,R13,377,R816,0,326411,MERRION STREET LOWER,WILTON TCE.,Sráid Bhagóid íocht
BAGGOT STREET LOWER,1,5,1,R17,R13,165,N011,0,326411,MERRION STREET UPPER,WILTON TCE.,Sráid Bhagóid íocht
BAGGOT STREET UPPER,2,5,1,R07,R18,49,R816,0,326417,HADDINGTON ROAD,EASTMORELAND PLACE,missing
BAGGOT STREET UPPER,2,5,2,R07,R18,164,R816,0,326417,HADDINGTON ROAD,EASTMORELAND PLACE,missing
BAGGOTRATH PLACE,7,5,2,22,14,76,missing,0,326411,FITZWILLIAM LANE,BAGGOT STREET LOWER,Plás Ráth Bhagóid
BAILEY'S ROW,6,1,3,14,14,132,missing,0,319821,SUMMER HILL,PORTLAND ROW,missing
BALBUTCHER DRIVE,6,2,3,2,2,168,missing,0,313104,BALBUTCHER LANE,missing,Céide Bhaile an Bhúistéara
BALBUTCHER LANE,3,2,1,2,2,2395,missing,0,313104,BALCURRIS ROAD,missing,Lána Bhaile an Bhuistéara
BALBUTCHER WAY,6,2,3,2,2,188,missing,0,313104,BALBUTCHER LANE,missing,Bealach Bhaile an Bhuistéara
BALCURRIS GARDENS,6,2,3,2,2,250,missing,0,313110,BALCURRIS ROAD,missing,Gairdíní Bhaile Cora
BALCURRIS ROAD,3,2,1,2,2,566,missing,0,313110,SILLOGE ROAD,BALBUTCHER LANE,Bóthar Bhaile Cora
BALFE AVENUE,6,4,1,10,18,233,missing,0,332710,MOERAN ROAD,missing,Ascaill Balfe
BALFE ROAD,6,4,1,10,18,404,missing,0,332705,missing,missing,Bóthar Balfe
